Date,Price,Open,High,Low,Vol.,Change %
09/11/2024,15.62,15.67,15.695,15.585,,0.00%
09/10/2024,15.62,15.67,15.695,15.55,,0.00%
09/09/2024,15.62,15.67,15.75,15.625,,0.00%
09/06/2024,15.62,15.67,15.76,15.58,,0.00%
09/05/2024,15.62,15.63,15.82,15.625,,0.00%
09/04/2024,15.62,15.63,15.67,15.6,,0.26%
09/03/2024,15.58,15.63,15.7905,15.56,,0.00%
09/02/2024,15.58,15.65,15.7852,15.6,,0.00%
08/30/2024,15.58,15.63,15.765,15.6,,-0.13%
08/29/2024,15.6,15.63,15.74,15.59,,0.13%
08/28/2024,15.58,15.63,15.74,15.58,,0.00%
08/27/2024,15.58,15.63,15.65,15.525,,0.00%
08/26/2024,15.58,15.6,16.1175,15.525,,0.00%
08/23/2024,15.58,15.63,15.65,15.55,,0.00%
08/22/2024,15.58,15.63,15.63,15.57,,0.00%
08/21/2024,15.58,15.6,15.69,15.565,,0.00%
08/20/2024,15.58,15.63,15.65,15.55,,0.00%
08/19/2024,15.58,15.6,15.75,15.5,,0.19%
08/16/2024,15.55,15.625,15.76,15.475,,0.00%
08/15/2024,15.55,15.65,15.7,15.55,,-0.32%
08/14/2024,15.6,15.6,15.65,15.58,,0.00%
08/13/2024,15.6,15.65,15.7,15.56,,0.00%
08/12/2024,15.6,15.575,15.725,15.48,,0.39%
08/09/2024,15.54,15.55,15.63,15.55,,-1.71%
08/08/2024,15.81,15.55,15.82,15.5,,2.00%
08/07/2024,15.5,15.55,15.615,15.515,,0.13%
08/06/2024,15.48,15.53,15.56,15.4,,-0.13%
08/05/2024,15.5,15.55,15.55,15.55,,0.00%
08/02/2024,15.5,15.5,15.56,15.5,,0.13%
08/01/2024,15.48,15.55,15.62,15.5,,-0.13%
07/31/2024,15.5,15.54,15.64,15.475,,0.06%
07/30/2024,15.49,15.55,15.55,15.4,,-0.06%
07/29/2024,15.5,15.47,15.64,15.341,,0.32%
